rank,name,score,date
1,Sousou no Frieren,9.31,2025-04-04
2,Fullmetal Alchemist: Brotherhood,9.10,2025-04-04
3,Steins;Gate,9.07,2025-04-04
4,Shingeki no Kyojin Season 3 Part 2,9.05,2025-04-04
5,One Piece Fan Letter,9.05,2025-04-04
6,Gintama°,9.05,2025-04-04
7,Gintama: The Final,9.04,2025-04-04
8,Hunter x Hunter (2011),9.03,2025-04-04
9,Gintama',9.02,2025-04-04
10,Gintama': Enchousen,9.02,2025-04-04
11,Ginga Eiyuu Densetsu,9.01,2025-04-04
12,Bleach: Sennen Kessen-hen,9.00,2025-04-04
13,Gintama.,8.98,2025-04-04
14,Kaguya-sama wa Kokurasetai: Ultra Romantic,8.98,2025-04-04
15,Fruits Basket: The Final,8.95,2025-04-04
16,Clannad: After Story,8.93,2025-04-04
17,Gintama,8.93,2025-04-04
18,Koe no Katachi,8.93,2025-04-04
19,3-gatsu no Lion 2nd Season,8.91,2025-04-04
20,Code Geass: Hangyaku no Lelouch R2,8.91,2025-04-04
21,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.90,2025-04-04
22,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,8.88,2025-04-04
23,Kusuriya no Hitorigoto,8.88,2025-04-04
24,Monster,8.88,2025-04-04
25,Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.87,2025-04-04
26,Owarimonogatari 2nd Season,8.86,2025-04-04
27,Violet Evergarden Movie,8.85,2025-04-04
28,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,8.83,2025-04-04
29,Kimi no Na wa.,8.83,2025-04-04
30,Kingdom 3rd Season,8.83,2025-04-04
31,Ore dake Level Up na Ken Season 2: Arise from the Shadow,8.82,2025-04-04
32,Kusuriya no Hitorigoto 2nd Season,8.81,2025-04-04
33,Vinland Saga Season 2,8.81,2025-04-04
34,Gintama. Shirogane no Tamashii-hen,8.81,2025-04-04
35,Hajime no Ippo,8.78,2025-04-04
36,Kizumonogatari III: Reiketsu-hen,8.78,2025-04-04
37,Mob Psycho 100 II,8.78,2025-04-04
38,Shingeki no Kyojin: The Final Season,8.78,2025-04-04
39,Sen to Chihiro no Kamikakushi,8.77,2025-04-04
40,Vinland Saga,8.77,2025-04-04
41,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.77,2025-04-04
42,Bocchi the Rock!,8.76,2025-04-04
43,Shingeki no Kyojin: The Final Season Part 2,8.76,2025-04-04
44,Jujutsu Kaisen 2nd Season,8.76,2025-04-04
45,Monogatari Series: Second Season,8.76,2025-04-04
46,Boku no Kokoro no Yabai Yatsu 2nd Season,8.75,2025-04-04
47,Cowboy Bebop,8.75,2025-04-04
48,Ashita no Joe 2,8.74,2025-04-04
49,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.74,2025-04-04
50,Kingdom 4th Season,8.73,2025-04-04
51,One Piece,8.73,2025-04-04
52,Shiguang Dailiren,8.73,2025-04-04
53,The First Slam Dunk,8.73,2025-04-04
54,Kimetsu no Yaiba: Yuukaku-hen,8.72,2025-04-04
55,Kingdom 5th Season,8.72,2025-04-04
56,Mushishi Zoku Shou 2nd Season,8.72,2025-04-04
57,Mob Psycho 100 III,8.71,2025-04-04
58,86 Part 2,8.71,2025-04-04
59,Hibike! Euphonium 3,8.71,2025-04-04
60,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.70,2025-04-04
61,Chi. Chikyuu no Undou ni Tsuite,8.70,2025-04-04
62,Code Geass: Hangyaku no Lelouch,8.70,2025-04-04
63,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.70,2025-04-04
64,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.70,2025-04-04
65,Mushishi Zoku Shou,8.69,2025-04-04
66,Mo Dao Zu Shi: Wanjie Pian,8.68,2025-04-04
67,Monogatari Series: Off & Monster Season,8.68,2025-04-04
68,Bleach: Sennen Kessen-hen - Soukoku-tan,8.68,2025-04-04
69,Great Teacher Onizuka,8.68,2025-04-04
70,Violet Evergarden,8.68,2025-04-04
71,Hajime no Ippo: New Challenger,8.67,2025-04-04
72,Howl no Ugoku Shiro,8.67,2025-04-04
73,Look Back,8.66,2025-04-04
74,Mononoke Hime,8.66,2025-04-04
75,Tian Guan Cifu Er,8.66,2025-04-04
76,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.65,2025-04-04
77,Mushishi,8.65,2025-04-04
