rank,name,score,date
1,Sousou no Frieren,9.31,2025-04-10
2,Fullmetal Alchemist: Brotherhood,9.10,2025-04-10
3,Steins;Gate,9.07,2025-04-10
4,Shingeki no Kyojin Season 3 Part 2,9.05,2025-04-10
5,One Piece Fan Letter,9.05,2025-04-10
6,Gintama°,9.05,2025-04-10
7,Gintama: The Final,9.04,2025-04-10
8,Hunter x Hunter (2011),9.03,2025-04-10
9,Gintama',9.02,2025-04-10
10,Gintama': Enchousen,9.02,2025-04-10
11,Ginga Eiyuu Densetsu,9.01,2025-04-10
12,Bleach: Sennen Kessen-hen,9.00,2025-04-10
13,Gintama.,8.98,2025-04-10
14,Kaguya-sama wa Kokurasetai: Ultra Romantic,8.98,2025-04-10
15,Fruits Basket: The Final,8.95,2025-04-10
16,Clannad: After Story,8.93,2025-04-10
17,Gintama,8.93,2025-04-10
18,Koe no Katachi,8.93,2025-04-10
19,3-gatsu no Lion 2nd Season,8.91,2025-04-10
20,Code Geass: Hangyaku no Lelouch R2,8.91,2025-04-10
21,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.90,2025-04-10
22,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,8.88,2025-04-10
23,Monster,8.88,2025-04-10
24,Kusuriya no Hitorigoto,8.87,2025-04-10
25,Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.87,2025-04-10
26,Owarimonogatari 2nd Season,8.86,2025-04-10
27,Violet Evergarden Movie,8.85,2025-04-10
28,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,8.83,2025-04-10
29,Kimi no Na wa.,8.83,2025-04-10
30,Kingdom 3rd Season,8.83,2025-04-10
31,Kusuriya no Hitorigoto 2nd Season,8.82,2025-04-10
32,Vinland Saga Season 2,8.81,2025-04-10
33,Gintama. Shirogane no Tamashii-hen,8.81,2025-04-10
34,Ore dake Level Up na Ken Season 2: Arise from the Shadow,8.80,2025-04-10
35,Kizumonogatari III: Reiketsu-hen,8.78,2025-04-10
36,Mob Psycho 100 II,8.78,2025-04-10
37,Hajime no Ippo,8.78,2025-04-10
38,Shingeki no Kyojin: The Final Season,8.78,2025-04-10
39,Sen to Chihiro no Kamikakushi,8.77,2025-04-10
40,Vinland Saga,8.77,2025-04-10
41,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.77,2025-04-10
42,Jujutsu Kaisen 2nd Season,8.76,2025-04-10
43,Monogatari Series: Second Season,8.76,2025-04-10
44,Shingeki no Kyojin: The Final Season Part 2,8.76,2025-04-10
45,Bocchi the Rock!,8.75,2025-04-10
46,Boku no Kokoro no Yabai Yatsu 2nd Season,8.75,2025-04-10
47,Cowboy Bebop,8.75,2025-04-10
48,Ashita no Joe 2,8.74,2025-04-10
49,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.74,2025-04-10
50,Kingdom 4th Season,8.73,2025-04-10
51,One Piece,8.73,2025-04-10
52,Shiguang Dailiren,8.73,2025-04-10
53,The First Slam Dunk,8.73,2025-04-10
54,Hibike! Euphonium 3,8.72,2025-04-10
55,Kimetsu no Yaiba: Yuukaku-hen,8.72,2025-04-10
56,Kingdom 5th Season,8.72,2025-04-10
57,Mushishi Zoku Shou 2nd Season,8.72,2025-04-10
58,Mob Psycho 100 III,8.71,2025-04-10
59,86 Part 2,8.71,2025-04-10
60,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.70,2025-04-10
61,Chi. Chikyuu no Undou ni Tsuite,8.70,2025-04-10
62,Code Geass: Hangyaku no Lelouch,8.70,2025-04-10
63,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.70,2025-04-10
64,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.70,2025-04-10
65,Mushishi Zoku Shou,8.69,2025-04-10
66,Mo Dao Zu Shi: Wanjie Pian,8.68,2025-04-10
67,Monogatari Series: Off & Monster Season,8.68,2025-04-10
68,Bleach: Sennen Kessen-hen - Soukoku-tan,8.68,2025-04-10
69,Great Teacher Onizuka,8.68,2025-04-10
70,Violet Evergarden,8.68,2025-04-10
71,Hajime no Ippo: New Challenger,8.67,2025-04-10
72,Howl no Ugoku Shiro,8.67,2025-04-10
73,Mononoke Hime,8.66,2025-04-10
74,Tian Guan Cifu Er,8.66,2025-04-10
75,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.65,2025-04-10
76,Look Back,8.65,2025-04-10
77,Mushishi,8.65,2025-04-10
78,Odd Taxi,8.65,2025-04-10
79,Made in Abyss,8.64,2025-04-10
80,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.64,2025-04-10
81,Shigatsu wa Kimi no Uso,8.64,2025-04-10
82,Shiguang Dailiren II,8.64,2025-04-10
83,Tengen Toppa Gurren Lagann,8.64,2025-04-10
