rank,name,score,date
84,Shingeki no Kyojin Season 3,8.63,2025-04-10
85,Natsume Yuujinchou Shi,8.63,2025-04-10
86,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.62,2025-04-10
87,Ping Pong the Animation,8.62,2025-04-10
88,Bungou Stray Dogs 5th Season,8.62,2025-04-10
89,Death Note,8.62,2025-04-10
90,Haikyuu!! Second Season,8.62,2025-04-10
91,Cyberpunk: Edgerunners,8.61,2025-04-10
92,Haikyuu!! Movie: Gomisuteba no Kessen,8.61,2025-04-10
93,Hajime no Ippo: Rising,8.61,2025-04-10
94,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.61,2025-04-10
95,Made in Abyss: Retsujitsu no Ougonkyou,8.61,2025-04-10
96,Natsume Yuujinchou Roku,8.61,2025-04-10
97,Kenpuu Denki Berserk,8.60,2025-04-10
98,Dungeon Meshi,8.60,2025-04-10
99,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.59,2025-04-10
100,Suzumiya Haruhi no Shoushitsu,8.59,2025-04-10
