rank,name,score,date
46,Monogatari Series: Second Season,8.76,2025-03-29
47,Cowboy Bebop,8.75,2025-03-29
48,Ashita no Joe 2,8.74,2025-03-29
49,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.74,2025-03-29
50,Kingdom 4th Season,8.73,2025-03-29
51,One Piece,8.73,2025-03-29
52,Shiguang Dailiren,8.73,2025-03-29
53,The First Slam Dunk,8.73,2025-03-29
54,Kimetsu no Yaiba: Yuukaku-hen,8.72,2025-03-29
55,Kingdom 5th Season,8.72,2025-03-29
56,Mushishi Zoku Shou 2nd Season,8.72,2025-03-29
57,Hibike! Euphonium 3,8.72,2025-03-29
58,86 Part 2,8.71,2025-03-29
59,Mob Psycho 100 III,8.71,2025-03-29
60,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.70,2025-03-29
61,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.70,2025-03-29
62,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.70,2025-03-29
63,Code Geass: Hangyaku no Lelouch,8.70,2025-03-29
64,Mushishi Zoku Shou,8.69,2025-03-29
65,Mo Dao Zu Shi: Wanjie Pian,8.68,2025-03-29
66,Monogatari Series: Off & Monster Season,8.68,2025-03-29
67,Bleach: Sennen Kessen-hen - Soukoku-tan,8.68,2025-03-29
68,Chi. Chikyuu no Undou ni Tsuite,8.68,2025-03-29
69,Great Teacher Onizuka,8.68,2025-03-29
70,Violet Evergarden,8.68,2025-03-29
71,Hajime no Ippo: New Challenger,8.67,2025-03-29
72,Howl no Ugoku Shiro,8.67,2025-03-29
73,Look Back,8.66,2025-03-29
74,Mononoke Hime,8.66,2025-03-29
75,Tian Guan Cifu Er,8.66,2025-03-29
76,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.65,2025-03-29
77,Mushishi,8.65,2025-03-29
78,Odd Taxi,8.65,2025-03-29
79,Made in Abyss,8.64,2025-03-29
80,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.64,2025-03-29
81,Shigatsu wa Kimi no Uso,8.64,2025-03-29
82,Shiguang Dailiren II,8.64,2025-03-29
83,Tengen Toppa Gurren Lagann,8.64,2025-03-29
84,Shingeki no Kyojin Season 3,8.63,2025-03-29
85,Natsume Yuujinchou Shi,8.63,2025-03-29
86,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.62,2025-03-29
87,Ping Pong the Animation,8.62,2025-03-29
88,Bungou Stray Dogs 5th Season,8.62,2025-03-29
89,Death Note,8.62,2025-03-29
90,Haikyuu!! Movie: Gomisuteba no Kessen,8.62,2025-03-29
91,Haikyuu!! Second Season,8.62,2025-03-29
92,Cyberpunk: Edgerunners,8.61,2025-03-29
93,Hajime no Ippo: Rising,8.61,2025-03-29
94,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.61,2025-03-29
95,Made in Abyss: Retsujitsu no Ougonkyou,8.61,2025-03-29
96,Natsume Yuujinchou Roku,8.61,2025-03-29
97,Kenpuu Denki Berserk,8.60,2025-03-29
98,Dungeon Meshi,8.60,2025-03-29
99,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.59,2025-03-29
100,Suzumiya Haruhi no Shoushitsu,8.59,2025-03-29
