rank,name,score,date
1,Sousou no Frieren,9.31,2025-03-25
2,Fullmetal Alchemist: Brotherhood,9.10,2025-03-25
3,Steins;Gate,9.07,2025-03-25
4,Shingeki no Kyojin Season 3 Part 2,9.05,2025-03-25
5,One Piece Fan Letter,9.05,2025-03-25
6,Gintama°,9.05,2025-03-25
7,Gintama: The Final,9.04,2025-03-25
8,Hunter x Hunter (2011),9.03,2025-03-25
9,Gintama',9.02,2025-03-25
10,Gintama': Enchousen,9.02,2025-03-25
11,Ginga Eiyuu Densetsu,9.01,2025-03-25
12,Bleach: Sennen Kessen-hen,9.00,2025-03-25
13,Gintama.,8.98,2025-03-25
14,Kaguya-sama wa Kokurasetai: Ultra Romantic,8.98,2025-03-25
15,Fruits Basket: The Final,8.95,2025-03-25
16,Clannad: After Story,8.93,2025-03-25
17,Gintama,8.93,2025-03-25
18,Koe no Katachi,8.93,2025-03-25
19,3-gatsu no Lion 2nd Season,8.91,2025-03-25
20,Code Geass: Hangyaku no Lelouch R2,8.91,2025-03-25
21,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.90,2025-03-25
22,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,8.88,2025-03-25
23,Kusuriya no Hitorigoto,8.88,2025-03-25
24,Monster,8.88,2025-03-25
25,Ore dake Level Up na Ken Season 2: Arise from the Shadow,8.88,2025-03-25
26,Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.87,2025-03-25
27,Owarimonogatari 2nd Season,8.86,2025-03-25
28,Violet Evergarden Movie,8.85,2025-03-25
29,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,8.84,2025-03-25
30,Kimi no Na wa.,8.83,2025-03-25
31,Kingdom 3rd Season,8.83,2025-03-25
32,Vinland Saga Season 2,8.81,2025-03-25
33,Gintama. Shirogane no Tamashii-hen,8.81,2025-03-25
34,Kusuriya no Hitorigoto 2nd Season,8.80,2025-03-25
35,Hajime no Ippo,8.78,2025-03-25
36,Kizumonogatari III: Reiketsu-hen,8.78,2025-03-25
37,Mob Psycho 100 II,8.78,2025-03-25
38,Shingeki no Kyojin: The Final Season,8.78,2025-03-25
39,Sen to Chihiro no Kamikakushi,8.77,2025-03-25
40,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.77,2025-03-25
