rank,name,score,date
1,Sousou no Frieren,9.30,2025-04-14
2,Fullmetal Alchemist: Brotherhood,9.10,2025-04-14
3,Steins;Gate,9.07,2025-04-14
4,Shingeki no Kyojin Season 3 Part 2,9.05,2025-04-14
5,One Piece Fan Letter,9.05,2025-04-14
6,Gintama°,9.05,2025-04-14
7,Gintama: The Final,9.04,2025-04-14
8,Hunter x Hunter (2011),9.03,2025-04-14
9,Gintama',9.02,2025-04-14
10,Gintama': Enchousen,9.02,2025-04-14
11,Ginga Eiyuu Densetsu,9.01,2025-04-14
12,Bleach: Sennen Kessen-hen,9.00,2025-04-14
13,Gintama.,8.98,2025-04-14
14,Kaguya-sama wa Kokurasetai: Ultra Romantic,8.98,2025-04-14
15,Fruits Basket: The Final,8.95,2025-04-14
16,Clannad: After Story,8.93,2025-04-14
17,Gintama,8.93,2025-04-14
18,Koe no Katachi,8.93,2025-04-14
19,3-gatsu no Lion 2nd Season,8.91,2025-04-14
20,Code Geass: Hangyaku no Lelouch R2,8.91,2025-04-14
21,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.90,2025-04-14
22,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,8.88,2025-04-14
23,Monster,8.88,2025-04-14
24,Kusuriya no Hitorigoto,8.87,2025-04-14
25,Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.87,2025-04-14
26,Owarimonogatari 2nd Season,8.86,2025-04-14
27,Violet Evergarden Movie,8.85,2025-04-14
28,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,8.83,2025-04-14
29,Kimi no Na wa.,8.83,2025-04-14
30,Kingdom 3rd Season,8.83,2025-04-14
31,Kusuriya no Hitorigoto 2nd Season,8.82,2025-04-14
32,Vinland Saga Season 2,8.81,2025-04-14
33,Gintama. Shirogane no Tamashii-hen,8.81,2025-04-14
34,Ore dake Level Up na Ken Season 2: Arise from the Shadow,8.79,2025-04-14
