rank,name,score,date
35,Kizumonogatari III: Reiketsu-hen,8.78,2025-04-14
36,Mob Psycho 100 II,8.78,2025-04-14
37,Hajime no Ippo,8.78,2025-04-14
38,Shingeki no Kyojin: The Final Season,8.78,2025-04-14
39,Sen to Chihiro no Kamikakushi,8.77,2025-04-14
40,Vinland Saga,8.77,2025-04-14
41,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.77,2025-04-14
42,Jujutsu Kaisen 2nd Season,8.76,2025-04-14
43,Monogatari Series: Second Season,8.76,2025-04-14
44,Shingeki no Kyojin: The Final Season Part 2,8.76,2025-04-14
45,Bocchi the Rock!,8.75,2025-04-14
46,Boku no Kokoro no Yabai Yatsu 2nd Season,8.75,2025-04-14
47,Cowboy Bebop,8.75,2025-04-14
48,Ashita no Joe 2,8.74,2025-04-14
49,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.74,2025-04-14
50,Kingdom 4th Season,8.73,2025-04-14
51,One Piece,8.73,2025-04-14
52,Shiguang Dailiren,8.73,2025-04-14
53,The First Slam Dunk,8.73,2025-04-14
54,Kimetsu no Yaiba: Yuukaku-hen,8.72,2025-04-14
55,Kingdom 5th Season,8.72,2025-04-14
56,Mushishi Zoku Shou 2nd Season,8.72,2025-04-14
57,Hibike! Euphonium 3,8.72,2025-04-14
58,86 Part 2,8.71,2025-04-14
59,Chi. Chikyuu no Undou ni Tsuite,8.71,2025-04-14
60,Mob Psycho 100 III,8.71,2025-04-14
61,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.70,2025-04-14
62,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.70,2025-04-14
63,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.70,2025-04-14
64,Code Geass: Hangyaku no Lelouch,8.70,2025-04-14
65,Mushishi Zoku Shou,8.69,2025-04-14
66,Mo Dao Zu Shi: Wanjie Pian,8.68,2025-04-14
67,Monogatari Series: Off & Monster Season,8.68,2025-04-14
68,Great Teacher Onizuka,8.68,2025-04-14
69,Violet Evergarden,8.68,2025-04-14
70,Bleach: Sennen Kessen-hen - Soukoku-tan,8.67,2025-04-14
71,Hajime no Ippo: New Challenger,8.67,2025-04-14
72,Howl no Ugoku Shiro,8.67,2025-04-14
73,Mononoke Hime,8.66,2025-04-14
74,Tian Guan Cifu Er,8.66,2025-04-14
75,Shiguang Dailiren II,8.65,2025-04-14
76,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.65,2025-04-14
77,Look Back,8.65,2025-04-14
78,Mushishi,8.65,2025-04-14
79,Odd Taxi,8.65,2025-04-14
80,Made in Abyss,8.64,2025-04-14
81,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.64,2025-04-14
82,Shigatsu wa Kimi no Uso,8.64,2025-04-14
83,Tengen Toppa Gurren Lagann,8.64,2025-04-14
84,Shingeki no Kyojin Season 3,8.63,2025-04-14
85,Natsume Yuujinchou Shi,8.63,2025-04-14
86,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.62,2025-04-14
87,Ping Pong the Animation,8.62,2025-04-14
88,Bungou Stray Dogs 5th Season,8.62,2025-04-14
89,Death Note,8.62,2025-04-14
90,Haikyuu!! Second Season,8.62,2025-04-14
91,Cyberpunk: Edgerunners,8.61,2025-04-14
92,Haikyuu!! Movie: Gomisuteba no Kessen,8.61,2025-04-14
93,Hajime no Ippo: Rising,8.61,2025-04-14
94,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.61,2025-04-14
95,Made in Abyss: Retsujitsu no Ougonkyou,8.61,2025-04-14
96,Natsume Yuujinchou Roku,8.61,2025-04-14
97,Kenpuu Denki Berserk,8.60,2025-04-14
98,Dungeon Meshi,8.60,2025-04-14
99,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.59,2025-04-14
100,Suzumiya Haruhi no Shoushitsu,8.59,2025-04-14
