rank,name,score,date
1,Sousou no Frieren,9.31,2025-03-27
2,Fullmetal Alchemist: Brotherhood,9.10,2025-03-27
3,Steins;Gate,9.07,2025-03-27
4,Shingeki no Kyojin Season 3 Part 2,9.05,2025-03-27
5,One Piece Fan Letter,9.05,2025-03-27
6,Gintama°,9.05,2025-03-27
7,Gintama: The Final,9.04,2025-03-27
8,Hunter x Hunter (2011),9.03,2025-03-27
9,Gintama',9.02,2025-03-27
10,Gintama': Enchousen,9.02,2025-03-27
11,Ginga Eiyuu Densetsu,9.01,2025-03-27
12,Bleach: Sennen Kessen-hen,9.00,2025-03-27
13,Gintama.,8.98,2025-03-27
14,Kaguya-sama wa Kokurasetai: Ultra Romantic,8.98,2025-03-27
15,Fruits Basket: The Final,8.95,2025-03-27
16,Clannad: After Story,8.93,2025-03-27
17,Gintama,8.93,2025-03-27
18,Koe no Katachi,8.93,2025-03-27
19,3-gatsu no Lion 2nd Season,8.91,2025-03-27
20,Code Geass: Hangyaku no Lelouch R2,8.91,2025-03-27
21,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.90,2025-03-27
22,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,8.88,2025-03-27
23,Kusuriya no Hitorigoto,8.88,2025-03-27
24,Monster,8.88,2025-03-27
25,Ore dake Level Up na Ken Season 2: Arise from the Shadow,8.88,2025-03-27
26,Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.87,2025-03-27
27,Owarimonogatari 2nd Season,8.86,2025-03-27
28,Violet Evergarden Movie,8.85,2025-03-27
29,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,8.84,2025-03-27
30,Kimi no Na wa.,8.83,2025-03-27
31,Kingdom 3rd Season,8.83,2025-03-27
32,Vinland Saga Season 2,8.81,2025-03-27
33,Gintama. Shirogane no Tamashii-hen,8.81,2025-03-27
34,Kusuriya no Hitorigoto 2nd Season,8.80,2025-03-27
35,Hajime no Ippo,8.78,2025-03-27
36,Kizumonogatari III: Reiketsu-hen,8.78,2025-03-27
37,Mob Psycho 100 II,8.78,2025-03-27
38,Shingeki no Kyojin: The Final Season,8.78,2025-03-27
39,Sen to Chihiro no Kamikakushi,8.77,2025-03-27
40,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.77,2025-03-27
41,Bocchi the Rock!,8.76,2025-03-27
42,Boku no Kokoro no Yabai Yatsu 2nd Season,8.76,2025-03-27
43,Shingeki no Kyojin: The Final Season Part 2,8.76,2025-03-27
44,Vinland Saga,8.76,2025-03-27
45,Jujutsu Kaisen 2nd Season,8.76,2025-03-27
46,Monogatari Series: Second Season,8.76,2025-03-27
47,Cowboy Bebop,8.75,2025-03-27
48,Ashita no Joe 2,8.74,2025-03-27
49,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.74,2025-03-27
50,Kingdom 4th Season,8.73,2025-03-27
51,One Piece,8.73,2025-03-27
52,Shiguang Dailiren,8.73,2025-03-27
53,The First Slam Dunk,8.73,2025-03-27
54,Kimetsu no Yaiba: Yuukaku-hen,8.72,2025-03-27
55,Kingdom 5th Season,8.72,2025-03-27
56,Mushishi Zoku Shou 2nd Season,8.72,2025-03-27
57,Hibike! Euphonium 3,8.72,2025-03-27
58,86 Part 2,8.71,2025-03-27
59,Mob Psycho 100 III,8.71,2025-03-27
60,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.70,2025-03-27
61,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.70,2025-03-27
62,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.70,2025-03-27
63,Code Geass: Hangyaku no Lelouch,8.70,2025-03-27
64,Chi. Chikyuu no Undou ni Tsuite,8.69,2025-03-27
65,Mushishi Zoku Shou,8.69,2025-03-27
66,Mo Dao Zu Shi: Wanjie Pian,8.68,2025-03-27
67,Monogatari Series: Off & Monster Season,8.68,2025-03-27
68,Bleach: Sennen Kessen-hen - Soukoku-tan,8.68,2025-03-27
69,Great Teacher Onizuka,8.68,2025-03-27
70,Violet Evergarden,8.68,2025-03-27
71,Hajime no Ippo: New Challenger,8.67,2025-03-27
72,Howl no Ugoku Shiro,8.67,2025-03-27
73,Look Back,8.66,2025-03-27
74,Mononoke Hime,8.66,2025-03-27
75,Tian Guan Cifu Er,8.66,2025-03-27
76,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.65,2025-03-27
77,Mushishi,8.65,2025-03-27
78,Odd Taxi,8.65,2025-03-27
79,Made in Abyss,8.64,2025-03-27
80,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.64,2025-03-27
81,Shigatsu wa Kimi no Uso,8.64,2025-03-27
82,Shiguang Dailiren II,8.64,2025-03-27
83,Tengen Toppa Gurren Lagann,8.64,2025-03-27
84,Shingeki no Kyojin Season 3,8.63,2025-03-27
85,Natsume Yuujinchou Shi,8.63,2025-03-27
86,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.62,2025-03-27
87,Ping Pong the Animation,8.62,2025-03-27
88,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,8.61,2025-03-27
89,Bungou Stray Dogs 5th Season,8.62,2025-03-27
90,Death Note,8.62,2025-03-27
91,Haikyuu!! Movie: Gomisuteba no Kessen,8.62,2025-03-27
92,Haikyuu!! Second Season,8.62,2025-03-27
93,Cyberpunk: Edgerunners,8.61,2025-03-27
94,Hajime no Ippo: Rising,8.61,2025-03-27
95,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.61,2025-03-27
96,Made in Abyss: Retsujitsu no Ougonkyou,8.61,2025-03-27
97,Natsume Yuujinchou Roku,8.61,2025-03-27
98,Kenpuu Denki Berserk,8.60,2025-03-27
99,Dungeon Meshi,8.60,2025-03-27
100,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.59,2025-03-27
