rank,name,score,date
1,Sousou no Frieren,9.31,2025-03-26
2,Fullmetal Alchemist: Brotherhood,9.10,2025-03-26
3,Steins;Gate,9.07,2025-03-26
4,Shingeki no Kyojin Season 3 Part 2,9.05,2025-03-26
5,One Piece Fan Letter,9.05,2025-03-26
6,Gintama°,9.05,2025-03-26
7,Gintama: The Final,9.04,2025-03-26
8,Hunter x Hunter (2011),9.03,2025-03-26
9,Gintama',9.02,2025-03-26
10,Gintama': Enchousen,9.02,2025-03-26
11,Ginga Eiyuu Densetsu,9.01,2025-03-26
12,Bleach: Sennen Kessen-hen,9.00,2025-03-26
13,Gintama.,8.98,2025-03-26
14,Kaguya-sama wa Kokurasetai: Ultra Romantic,8.98,2025-03-26
15,Fruits Basket: The Final,8.95,2025-03-26
16,Clannad: After Story,8.93,2025-03-26
17,Gintama,8.93,2025-03-26
18,Koe no Katachi,8.93,2025-03-26
19,3-gatsu no Lion 2nd Season,8.91,2025-03-26
20,Code Geass: Hangyaku no Lelouch R2,8.91,2025-03-26
21,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.90,2025-03-26
22,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,8.88,2025-03-26
23,Kusuriya no Hitorigoto,8.88,2025-03-26
24,Monster,8.88,2025-03-26
25,Ore dake Level Up na Ken Season 2: Arise from the Shadow,8.88,2025-03-26
26,Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.87,2025-03-26
27,Owarimonogatari 2nd Season,8.86,2025-03-26
28,Violet Evergarden Movie,8.85,2025-03-26
29,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,8.84,2025-03-26
30,Kimi no Na wa.,8.83,2025-03-26
31,Kingdom 3rd Season,8.83,2025-03-26
32,Vinland Saga Season 2,8.81,2025-03-26
33,Gintama. Shirogane no Tamashii-hen,8.81,2025-03-26
34,Kusuriya no Hitorigoto 2nd Season,8.80,2025-03-26
35,Hajime no Ippo,8.78,2025-03-26
36,Kizumonogatari III: Reiketsu-hen,8.78,2025-03-26
37,Mob Psycho 100 II,8.78,2025-03-26
38,Shingeki no Kyojin: The Final Season,8.78,2025-03-26
39,Sen to Chihiro no Kamikakushi,8.77,2025-03-26
40,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.77,2025-03-26
41,Bocchi the Rock!,8.76,2025-03-26
42,Boku no Kokoro no Yabai Yatsu 2nd Season,8.76,2025-03-26
43,Shingeki no Kyojin: The Final Season Part 2,8.76,2025-03-26
44,Vinland Saga,8.76,2025-03-26
45,Jujutsu Kaisen 2nd Season,8.76,2025-03-26
46,Monogatari Series: Second Season,8.76,2025-03-26
47,Cowboy Bebop,8.75,2025-03-26
48,Ashita no Joe 2,8.74,2025-03-26
49,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.74,2025-03-26
50,Kingdom 4th Season,8.73,2025-03-26
51,One Piece,8.73,2025-03-26
52,Shiguang Dailiren,8.73,2025-03-26
53,The First Slam Dunk,8.73,2025-03-26
54,Kimetsu no Yaiba: Yuukaku-hen,8.72,2025-03-26
55,Kingdom 5th Season,8.72,2025-03-26
56,Mushishi Zoku Shou 2nd Season,8.72,2025-03-26
57,Hibike! Euphonium 3,8.72,2025-03-26
58,86 Part 2,8.71,2025-03-26
59,Mob Psycho 100 III,8.71,2025-03-26
60,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.70,2025-03-26
61,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.70,2025-03-26
62,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.70,2025-03-26
63,Code Geass: Hangyaku no Lelouch,8.70,2025-03-26
64,Chi. Chikyuu no Undou ni Tsuite,8.69,2025-03-26
65,Mushishi Zoku Shou,8.69,2025-03-26
66,Mo Dao Zu Shi: Wanjie Pian,8.68,2025-03-26
67,Monogatari Series: Off & Monster Season,8.68,2025-03-26
68,Bleach: Sennen Kessen-hen - Soukoku-tan,8.68,2025-03-26
69,Great Teacher Onizuka,8.68,2025-03-26
70,Violet Evergarden,8.68,2025-03-26
71,Hajime no Ippo: New Challenger,8.67,2025-03-26
72,Howl no Ugoku Shiro,8.67,2025-03-26
73,Look Back,8.66,2025-03-26
74,Mononoke Hime,8.66,2025-03-26
75,Tian Guan Cifu Er,8.66,2025-03-26
76,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.65,2025-03-26
77,Mushishi,8.65,2025-03-26
78,Odd Taxi,8.65,2025-03-26
79,Made in Abyss,8.64,2025-03-26
80,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.64,2025-03-26
81,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,8.64,2025-03-26
82,Shigatsu wa Kimi no Uso,8.64,2025-03-26
83,Shiguang Dailiren II,8.64,2025-03-26
84,Tengen Toppa Gurren Lagann,8.64,2025-03-26
85,Shingeki no Kyojin Season 3,8.63,2025-03-26
86,Natsume Yuujinchou Shi,8.63,2025-03-26
87,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.62,2025-03-26
88,Ping Pong the Animation,8.62,2025-03-26
89,Bungou Stray Dogs 5th Season,8.62,2025-03-26
90,Death Note,8.62,2025-03-26
91,Haikyuu!! Movie: Gomisuteba no Kessen,8.62,2025-03-26
92,Haikyuu!! Second Season,8.62,2025-03-26
93,Cyberpunk: Edgerunners,8.61,2025-03-26
94,Hajime no Ippo: Rising,8.61,2025-03-26
95,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.61,2025-03-26
