rank,name,score,date
1,Sousou no Frieren,9.30,2025-04-18
2,Fullmetal Alchemist: Brotherhood,9.10,2025-04-18
3,Steins;Gate,9.07,2025-04-18
4,Shingeki no Kyojin Season 3 Part 2,9.05,2025-04-18
5,One Piece Fan Letter,9.05,2025-04-18
6,Gintama°,9.05,2025-04-18
7,Gintama: The Final,9.04,2025-04-18
8,Hunter x Hunter (2011),9.03,2025-04-18
9,Gintama',9.02,2025-04-18
10,Gintama': Enchousen,9.02,2025-04-18
11,Ginga Eiyuu Densetsu,9.01,2025-04-18
12,Bleach: Sennen Kessen-hen,9.00,2025-04-18
13,Gintama.,8.98,2025-04-18
14,Kaguya-sama wa Kokurasetai: Ultra Romantic,8.98,2025-04-18
15,Fruits Basket: The Final,8.95,2025-04-18
16,Clannad: After Story,8.93,2025-04-18
17,Gintama,8.93,2025-04-18
18,Koe no Katachi,8.93,2025-04-18
19,3-gatsu no Lion 2nd Season,8.91,2025-04-18
20,Code Geass: Hangyaku no Lelouch R2,8.91,2025-04-18
21,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.90,2025-04-18
22,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,8.88,2025-04-18
23,Monster,8.88,2025-04-18
24,Kusuriya no Hitorigoto,8.87,2025-04-18
25,Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.87,2025-04-18
26,Owarimonogatari 2nd Season,8.86,2025-04-18
27,Violet Evergarden Movie,8.85,2025-04-18
28,Kimi no Na wa.,8.83,2025-04-18
29,Kingdom 3rd Season,8.83,2025-04-18
30,Kusuriya no Hitorigoto 2nd Season,8.82,2025-04-18
31,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,8.82,2025-04-18
32,Vinland Saga Season 2,8.81,2025-04-18
33,Gintama. Shirogane no Tamashii-hen,8.81,2025-04-18
34,Hajime no Ippo,8.78,2025-04-18
35,Kizumonogatari III: Reiketsu-hen,8.78,2025-04-18
36,Mob Psycho 100 II,8.78,2025-04-18
37,Ore dake Level Up na Ken Season 2: Arise from the Shadow,8.78,2025-04-18
38,Shingeki no Kyojin: The Final Season,8.78,2025-04-18
39,Sen to Chihiro no Kamikakushi,8.77,2025-04-18
40,Vinland Saga,8.77,2025-04-18
41,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.77,2025-04-18
42,Shingeki no Kyojin: The Final Season Part 2,8.76,2025-04-18
43,Jujutsu Kaisen 2nd Season,8.76,2025-04-18
44,Monogatari Series: Second Season,8.76,2025-04-18
45,Bocchi the Rock!,8.75,2025-04-18
46,Boku no Kokoro no Yabai Yatsu 2nd Season,8.75,2025-04-18
47,Cowboy Bebop,8.75,2025-04-18
48,Ashita no Joe 2,8.74,2025-04-18
