rank,name,score,date
1,Sousou no Frieren,9.31,2025-04-03
2,Fullmetal Alchemist: Brotherhood,9.10,2025-04-03
3,Steins;Gate,9.07,2025-04-03
4,Shingeki no Kyojin Season 3 Part 2,9.05,2025-04-03
5,One Piece Fan Letter,9.05,2025-04-03
6,Gintama°,9.05,2025-04-03
7,Gintama: The Final,9.04,2025-04-03
8,Hunter x Hunter (2011),9.03,2025-04-03
9,Gintama',9.02,2025-04-03
10,Gintama': Enchousen,9.02,2025-04-03
11,Ginga Eiyuu Densetsu,9.01,2025-04-03
12,Bleach: Sennen Kessen-hen,9.00,2025-04-03
13,Gintama.,8.98,2025-04-03
14,Kaguya-sama wa Kokurasetai: Ultra Romantic,8.98,2025-04-03
15,Fruits Basket: The Final,8.95,2025-04-03
16,Clannad: After Story,8.93,2025-04-03
17,Gintama,8.93,2025-04-03
18,Koe no Katachi,8.93,2025-04-03
19,3-gatsu no Lion 2nd Season,8.91,2025-04-03
20,Code Geass: Hangyaku no Lelouch R2,8.91,2025-04-03
21,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.90,2025-04-03
22,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,8.88,2025-04-03
23,Kusuriya no Hitorigoto,8.88,2025-04-03
24,Monster,8.88,2025-04-03
25,Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.87,2025-04-03
26,Owarimonogatari 2nd Season,8.86,2025-04-03
27,Violet Evergarden Movie,8.85,2025-04-03
28,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,8.83,2025-04-03
29,Kimi no Na wa.,8.83,2025-04-03
30,Kingdom 3rd Season,8.83,2025-04-03
31,Ore dake Level Up na Ken Season 2: Arise from the Shadow,8.82,2025-04-03
32,Kusuriya no Hitorigoto 2nd Season,8.81,2025-04-03
33,Vinland Saga Season 2,8.81,2025-04-03
34,Gintama. Shirogane no Tamashii-hen,8.81,2025-04-03
35,Hajime no Ippo,8.78,2025-04-03
36,Kizumonogatari III: Reiketsu-hen,8.78,2025-04-03
37,Mob Psycho 100 II,8.78,2025-04-03
38,Shingeki no Kyojin: The Final Season,8.78,2025-04-03
39,Sen to Chihiro no Kamikakushi,8.77,2025-04-03
40,Vinland Saga,8.77,2025-04-03
41,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.77,2025-04-03
42,Bocchi the Rock!,8.76,2025-04-03
43,Shingeki no Kyojin: The Final Season Part 2,8.76,2025-04-03
44,Jujutsu Kaisen 2nd Season,8.76,2025-04-03
45,Monogatari Series: Second Season,8.76,2025-04-03
46,Boku no Kokoro no Yabai Yatsu 2nd Season,8.75,2025-04-03
47,Cowboy Bebop,8.75,2025-04-03
48,Ashita no Joe 2,8.74,2025-04-03
49,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.74,2025-04-03
50,Kingdom 4th Season,8.73,2025-04-03
51,One Piece,8.73,2025-04-03
52,Shiguang Dailiren,8.73,2025-04-03
53,The First Slam Dunk,8.73,2025-04-03
54,Kimetsu no Yaiba: Yuukaku-hen,8.72,2025-04-03
55,Kingdom 5th Season,8.72,2025-04-03
56,Mushishi Zoku Shou 2nd Season,8.72,2025-04-03
57,Hibike! Euphonium 3,8.72,2025-04-03
58,86 Part 2,8.71,2025-04-03
59,Mob Psycho 100 III,8.71,2025-04-03
60,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.70,2025-04-03
61,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.70,2025-04-03
62,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.70,2025-04-03
63,Code Geass: Hangyaku no Lelouch,8.70,2025-04-03
64,Chi. Chikyuu no Undou ni Tsuite,8.69,2025-04-03
65,Mushishi Zoku Shou,8.69,2025-04-03
66,Mo Dao Zu Shi: Wanjie Pian,8.68,2025-04-03
67,Monogatari Series: Off & Monster Season,8.68,2025-04-03
68,Bleach: Sennen Kessen-hen - Soukoku-tan,8.68,2025-04-03
69,Great Teacher Onizuka,8.68,2025-04-03
70,Violet Evergarden,8.68,2025-04-03
71,Hajime no Ippo: New Challenger,8.67,2025-04-03
72,Howl no Ugoku Shiro,8.67,2025-04-03
73,Mononoke Hime,8.66,2025-04-03
74,Tian Guan Cifu Er,8.66,2025-04-03
75,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.65,2025-04-03
76,Look Back,8.65,2025-04-03
77,Mushishi,8.65,2025-04-03
78,Odd Taxi,8.65,2025-04-03
79,Made in Abyss,8.64,2025-04-03
80,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.64,2025-04-03
81,Shigatsu wa Kimi no Uso,8.64,2025-04-03
82,Shiguang Dailiren II,8.64,2025-04-03
83,Tengen Toppa Gurren Lagann,8.64,2025-04-03
84,Shingeki no Kyojin Season 3,8.63,2025-04-03
85,Natsume Yuujinchou Shi,8.63,2025-04-03
86,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.62,2025-04-03
87,Ping Pong the Animation,8.62,2025-04-03
88,Bungou Stray Dogs 5th Season,8.62,2025-04-03
89,Death Note,8.62,2025-04-03
90,Haikyuu!! Second Season,8.62,2025-04-03
