rank,name,score,date
91,Cyberpunk: Edgerunners,8.61,2025-04-03
92,Haikyuu!! Movie: Gomisuteba no Kessen,8.61,2025-04-03
93,Hajime no Ippo: Rising,8.61,2025-04-03
94,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.61,2025-04-03
95,Made in Abyss: Retsujitsu no Ougonkyou,8.61,2025-04-03
96,Natsume Yuujinchou Roku,8.61,2025-04-03
97,Kenpuu Denki Berserk,8.60,2025-04-03
98,Dungeon Meshi,8.60,2025-04-03
99,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.59,2025-04-03
100,Suzumiya Haruhi no Shoushitsu,8.59,2025-04-03
